0,0,0,0,4,out
0,0,1,0,4,out
0,0,2,0,4,out
0,0,3,0,4,out
0,0,4,0,4,out
0,0,5,0,4,out
0,0,6,0,4,out
0,0,7,0,4,out
0,0,8,0,4,out
0,0,9,0,4,out
0,0,10,0,4,out
0,0,11,0,4,out
0,0,12,0,4,out
0,0,13,0,4,out
0,0,14,0,4,out
0,0,15,0,4,out
0,0,16,0,4,out
0,0,17,0,4,out
0,0,18,0,4,out
0,0,19,0,4,out
0,1,0,1,2,out
0,1,1,1,2,out
0,1,2,1,2,out
0,1,3,1,2,out
0,1,4,1,2,out
0,1,5,1,2,out
0,1,6,1,2,out
0,1,7,1,2,out
0,1,8,1,2,out
0,1,9,1,2,out
0,1,10,1,2,out
0,1,11,1,2,out
0,1,12,1,2,out
0,1,13,1,2,out
0,1,14,1,2,out
0,1,15,1,2,out
0,1,16,1,2,out
0,1,17,1,2,out
0,1,18,1,2,out
0,1,19,1,2,out
0,2,0,2,4,out
0,2,1,2,4,out
0,2,2,2,4,out
0,2,3,2,4,out
0,2,4,2,4,out
0,2,5,2,4,out
0,2,6,2,4,out
0,2,7,2,4,out
0,2,8,2,4,out
0,2,9,2,4,out
0,2,10,2,4,out
0,2,11,2,4,out
0,2,12,2,4,out
0,2,13,2,4,out
0,2,14,2,4,out
0,2,15,2,4,out
0,2,16,2,4,out
0,2,17,2,4,out
0,2,18,2,4,out
0,2,19,2,4,out
0,3,0,3,4,out
0,3,1,3,4,out
0,3,2,3,4,out
0,3,3,3,4,out
0,3,4,3,4,out
0,3,5,3,4,out
0,3,6,3,4,out
0,3,7,3,4,out
0,3,8,3,4,out
0,3,9,3,4,out
0,3,10,3,4,out
0,3,11,3,4,out
0,3,12,3,4,out
0,3,13,3,4,out
0,3,14,3,4,out
0,3,15,3,4,out
0,3,16,3,4,out
0,3,17,3,4,out
0,3,18,3,4,out
0,3,19,3,4,out
0,4,0,4,2,out
0,4,1,4,2,out
0,4,2,4,2,out
0,4,3,4,2,out
0,4,4,4,2,out
0,4,5,4,2,out
0,4,6,4,2,out
0,4,7,4,2,out
0,4,8,4,2,out
0,4,9,4,2,out
0,4,10,4,2,out
0,4,11,4,2,out
0,4,12,4,2,out
0,4,13,4,2,out
0,4,14,4,2,out
0,4,15,4,2,out
0,4,16,4,2,out
0,4,17,4,2,out
0,4,18,4,2,out
0,4,19,4,2,out
0,5,0,5,1,out
0,5,1,5,1,out
0,5,2,5,1,out
0,5,3,5,1,out
0,5,4,5,1,out
0,5,5,5,1,out
0,5,6,5,1,out
0,5,7,5,1,out
0,5,8,5,1,out
0,5,9,5,1,out
0,5,10,5,1,out
0,5,11,5,1,out
0,5,12,5,1,out
0,5,13,5,1,out
0,5,14,5,1,out
0,5,15,5,1,out
0,5,16,5,1,out
0,5,17,5,1,out
0,5,18,5,1,out
0,5,19,5,1,out
0,6,0,6,1,out
0,6,1,6,1,out
0,6,2,6,1,out
0,6,3,6,1,out
0,6,4,6,1,out
0,6,5,6,1,out
0,6,6,6,1,out
0,6,7,6,1,out
0,6,8,6,1,out
0,6,9,6,1,out
0,6,10,6,1,out
0,6,11,6,1,out
0,6,12,6,1,out
0,6,13,6,1,out
0,6,14,6,1,out
0,6,15,6,1,out
0,6,16,6,1,out
0,6,17,6,1,out
0,6,18,6,1,out
0,6,19,6,1,out
0,7,0,7,3,out
0,7,1,7,3,out
0,7,2,7,3,out
0,7,3,7,3,out
0,7,4,7,3,out
0,7,5,7,3,out
0,7,6,7,3,out
0,7,7,7,3,out
